Month,sales
1/1/2013,2399
2/1/2013,2081
3/1/2013,2395
4/1/2013,2657
5/1/2013,2726
6/1/2013,2716
7/1/2013,3194
8/1/2013,3302
9/1/2013,3243
10/1/2013,3549
11/1/2013,3714
12/1/2013,4619
1/1/2014,3731
2/1/2014,2950
3/1/2014,2987
4/1/2014,3074
5/1/2014,3556
6/1/2014,3945
7/1/2014,4399
8/1/2014,4434
9/1/2014,4985
10/1/2014,4381
11/1/2014,3669
12/1/2014,4209
1/1/2015,3478
2/1/2015,3204
3/1/2015,3251
4/1/2015,4339
5/1/2015,4594
6/1/2015,4414
7/1/2015,4551
8/1/2015,4564
9/1/2015,4450
10/1/2015,5176
11/1/2015,6513
12/1/2015,6739
1/1/2016,6040
2/1/2016,5814
3/1/2016,5735
4/1/2016,5567
5/1/2016,5740
6/1/2016,5114
7/1/2016,5363
8/1/2016,6048
9/1/2016,6486
10/1/2016,6579
11/1/2016,6902
12/1/2016,7127
1/1/2017,6863
2/1/2017,6903
3/1/2017,7308
4/1/2017,7530
5/1/2017,9959
6/1/2017,10671
7/1/2017,10325
8/1/2017,9400
9/1/2017,8585
10/1/2017,8388
11/1/2017,7047
12/1/2017,7041
1/1/2018,6900
2/1/2018,8140
3/1/2018,9583
4/1/2018,9311
5/1/2018,9059
6/1/2018,10012
7/1/2018,10345
8/1/2018,9249
9/1/2018,7799
10/1/2018,7877
